Program "PAW_protein_grouper.py" run on Tue Oct 28 14:22:31 2025


	=SUBTOTAL(109,B6:B7422)																								
2324	1	sp|Q14CH7|SYAM_MOUSE	 	 	 	 	24.1	980	106782	Alanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Aars2 PE=1 SV=1	55	55	1.000	13	17	15	10	13	17	15	10	13.000	17.000	15.000	10.000
2325	1	sp|Q14DH7|ACSS3_MOUSE	 	 	 	 	42.2	682	74517	Acyl-CoA synthetase short-chain family member 3, mitochondrial OS=Mus musculus OX=10090 GN=Acss3 PE=1 SV=2	210	210	1.000	52	58	56	44	52	58	56	44	52.000	58.000	56.000	44.000
2326	1	sp|Q18PI6|SLAF5_MOUSE	 	 	 	 	4.9	329	37378	SLAM family member 5 OS=Mus musculus OX=10090 GN=Cd84 PE=1 SV=1	7	7	1.000	2	2	2	1	2	2	2	1	2.000	2.000	2.000	1.000
2327	1	sp|Q19LI2|A1BG_MOUSE	 	 	 	 	27.3	512	56553	Alpha-1B-glycoprotein OS=Mus musculus OX=10090 GN=A1bg PE=1 SV=1	64	64	1.000	19	20	13	12	19	20	13	12	19.000	20.000	13.000	12.000
2328	1	sp|Q1EG27|MYO3B_MOUSE	 	 	sp|P46735|MYO1B_MOUSE, sp|Q1EG27|MYO3B_MOUSE	 	1.3	1305	148097	Myosin-IIIb OS=Mus musculus OX=10090 GN=Myo3b PE=1 SV=2	7	1	0.143	1	3	1	2	0	1	0	0	0.000	1.027	0.000	0.000
2329	1	sp|Q1HFZ0|NSUN2_MOUSE	 	 	 	 	44.4	757	85451	RNA cytosine C(5)-methyltransferase NSUN2 OS=Mus musculus OX=10090 GN=Nsun2 PE=1 SV=2	106	106	1.000	30	23	27	26	30	23	27	26	30.000	23.000	27.000	26.000
2330	1	sp|Q283N4|URAD_MOUSE	 	 	 	 	53.9	178	20016	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase OS=Mus musculus OX=10090 GN=Urad PE=1 SV=1	78	78	1.000	18	19	22	19	18	19	22	19	18.000	19.000	22.000	19.000
2331	1	sp|Q2EMV9|PAR14_MOUSE	 	 	sp|P28738|KIF5C_MOUSE, sp|Q2EMV9|PAR14_MOUSE	 	18.6	1817	203799	Protein mono-ADP-ribosyltransferase PARP14 OS=Mus musculus OX=10090 GN=Parp14 PE=1 SV=3	76	75	0.987	18	21	17	20	18	21	16	20	18.000	21.000	16.387	20.000
2332	1	sp|Q2HXL6|EDEM3_MOUSE	 	 	 	 	11.4	931	104198	ER degradation-enhancing alpha-mannosidase-like protein 3 OS=Mus musculus OX=10090 GN=Edem3 PE=1 SV=2	22	22	1.000	6	4	8	4	6	4	8	4	6.000	4.000	8.000	4.000
2333	1	sp|Q2KN98|CYTSA_MOUSE	 	 	sp|P26043|RADI_MOUSE, sp|Q2KN98|CYTSA_MOUSE	 	3.5	1118	124486	Cytospin-A OS=Mus musculus OX=10090 GN=Specc1l PE=1 SV=1	14	6	0.429	3	3	3	5	2	2	0	2	2.021	2.022	0.000	2.095
2334	1	sp|Q2NL51|GSK3A_MOUSE	 	 	sp|Q2NL51|GSK3A_MOUSE, sp|Q9WV60|GSK3B_MOUSE	 	15.5	490	51660	Glycogen synthase kinase-3 alpha OS=Mus musculus OX=10090 GN=Gsk3a PE=1 SV=2	22	11	0.500	7	5	6	4	4	3	3	1	5.200	3.500	4.000	1.750
2335	1	sp|Q2PFD7|PSD3_MOUSE	 	 	 	 	15.4	1037	114721	PH and SEC7 domain-containing protein 3 OS=Mus musculus OX=10090 GN=Psd3 PE=1 SV=2	30	30	1.000	8	10	7	5	8	10	7	5	8.000	10.000	7.000	5.000
2336	1	sp|Q2TBE6|P4K2A_MOUSE	 	 	 	 	18.4	479	54257	Phosphatidylinositol 4-kinase type 2-alpha OS=Mus musculus OX=10090 GN=Pi4k2a PE=1 SV=1	31	31	1.000	11	9	5	6	11	9	5	6	11.000	9.000	5.000	6.000
2337	1	sp|Q2TPA8|HSDL2_MOUSE	 	 	 	 	57.8	490	54208	Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus OX=10090 GN=Hsdl2 PE=1 SV=1	183	183	1.000	50	48	45	40	50	48	45	40	50.000	48.000	45.000	40.000
2338	1	sp|Q2VLH6|C163A_MOUSE	 	 	 	 	14.9	1121	120920	Scavenger receptor cysteine-rich type 1 protein M130 OS=Mus musculus OX=10090 GN=Cd163 PE=1 SV=2	38	38	1.000	10	10	7	11	10	10	7	11	10.000	10.000	7.000	11.000
2339	1	sp|Q2YDW2|MSTO1_MOUSE	 	 	 	 	20.5	556	61230	Protein misato homolog 1 OS=Mus musculus OX=10090 GN=Msto1 PE=1 SV=1	19	19	1.000	5	5	5	4	5	5	5	4	5.000	5.000	5.000	4.000
2340	1	sp|Q30D77|COOA1_MOUSE	 	 	 	 	1.4	1733	175731	Collagen alpha-1(XXIV) chain OS=Mus musculus OX=10090 GN=Col24a1 PE=2 SV=2	22	22	1.000	4	4	7	7	4	4	7	7	4.000	4.000	7.000	7.000
2341	1	sp|Q31125|S39A7_MOUSE	 	 	 	 	7.8	476	50656	Zinc transporter SLC39A7 OS=Mus musculus OX=10090 GN=Slc39a7 PE=1 SV=2	27	27	1.000	5	9	6	7	5	9	6	7	5.000	9.000	6.000	7.000
2342	1	sp|Q32NY4|CNNM3_MOUSE	 	 	sp|Q32NY4|CNNM3_MOUSE, sp|Q69ZF7|CNNM4_MOUSE	 	16.8	713	76278	Metal transporter CNNM3 OS=Mus musculus OX=10090 GN=Cnnm3 PE=1 SV=2	31	28	0.903	8	6	8	9	8	6	7	7	8.000	6.000	8.000	8.750
2343	1	sp|Q32Q92|ACOT6_MOUSE	 	 	sp|O55137|ACOT1_MOUSE, sp|Q32Q92|ACOT6_MOUSE, sp|Q8BWN8|ACOT4_MOUSE, sp|Q9QYR7|ACOT3_MOUSE, sp|Q9QYR9|ACOT2_MOUSE	 	23.2	419	46768	Acyl-coenzyme A thioesterase 6 OS=Mus musculus OX=10090 GN=Acot6 PE=1 SV=1	71	7	0.099	19	26	14	12	1	3	1	2	1.427	4.567	1.399	2.511
2344	1	sp|Q33DR2|DPS1_MOUSE	 	 	 	 	4.6	409	45894	All trans-polyprenyl-diphosphate synthase PDSS1 OS=Mus musculus OX=10090 GN=Pdss1 PE=1 SV=1	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
2345	1	sp|Q33DR3|DLP1_MOUSE	 	 	 	 	25.4	401	43980	All trans-polyprenyl-diphosphate synthase PDSS2 OS=Mus musculus OX=10090 GN=Pdss2 PE=1 SV=2	14	14	1.000	4	5	2	3	4	5	2	3	4.000	5.000	2.000	3.000
2346	1	sp|Q3B7Z2|OSBP1_MOUSE	 	 	 	 	28.3	805	88796	Oxysterol-binding protein 1 OS=Mus musculus OX=10090 GN=Osbp PE=1 SV=3	120	120	1.000	35	31	25	29	35	31	25	29	35.000	31.000	25.000	29.000
2347	1	sp|Q3KNM2|MARH5_MOUSE	 	 	 	 	24.1	278	31231	E3 ubiquitin-protein ligase MARCHF5 OS=Mus musculus OX=10090 GN=Marchf5 PE=1 SV=1	22	22	1.000	6	5	5	6	6	5	5	6	6.000	5.000	5.000	6.000
2348	1	sp|Q3LAC4|PREX2_MOUSE	 	 	sp|Q3LAC4|PREX2_MOUSE, sp|Q5DTT3|TASO2_MOUSE	 	1.5	1598	181716	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein OS=Mus musculus OX=10090 GN=Prex2 PE=1 SV=2	4	3	0.750	1	0	2	1	1	0	2	0	1.000	0.000	2.000	0.000
2349	1	sp|Q3SXB8|COL11_MOUSE	 	 	 	 	9.2	272	28989	Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2	6	6	1.000	3	2	1	0	3	2	1	0	3.000	2.000	1.000	0.000
2350	1	sp|Q3SYK4|VRTN_MOUSE	 	 	 	 	1.9	740	83134	Vertnin OS=Mus musculus OX=10090 GN=Vrtn PE=2 SV=1	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
2351	1	sp|Q3T9E4|TGTP2_MOUSE (+1)	sp|Q3T9E4|TGTP2_MOUSE&sp|Q62293|TGTP1_MOUSE	 	 	 	20.5	415	47120	T-cell-specific guanine nucleotide triphosphate-binding protein 2 OS=Mus musculus OX=10090 GN=Tgtp2 PE=1 SV=2	23	23	1.000	5	8	5	5	5	8	5	5	5.000	8.000	5.000	5.000
2352	1	sp|Q3T9X0|GTR9_MOUSE	 	 	 	 	15.8	538	58621	Solute carrier family 2, facilitated glucose transporter member 9 OS=Mus musculus OX=10090 GN=Slc2a9 PE=1 SV=1	37	37	1.000	10	12	9	6	10	12	9	6	10.000	12.000	9.000	6.000
2353	1	sp|Q3T9Z9|ZUP1_MOUSE	 	 	 	 	2.6	577	65593	Zinc finger-containing ubiquitin peptidase 1 OS=Mus musculus OX=10090 GN=Zup1 PE=2 SV=2	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
2354	1	sp|Q3TA59|JMJD8_MOUSE	 	 	 	 	8.9	269	30387	JmjC domain-containing protein 8 OS=Mus musculus OX=10090 GN=Jmjd8 PE=2 SV=4	9	9	1.000	3	3	1	2	3	3	1	2	3.000	3.000	1.000	2.000
2355	1	sp|Q3TAE8|ALG6_MOUSE	 	 	 	 	3.4	507	57873	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase OS=Mus musculus OX=10090 GN=Alg6 PE=2 SV=1	3	3	1.000	0	0	3	0	0	0	3	0	0.000	0.000	3.000	0.000
2356	1	sp|Q3TAS6|EMC10_MOUSE	 	 	 	 	21.3	258	27052	ER membrane protein complex subunit 10 OS=Mus musculus OX=10090 GN=Emc10 PE=2 SV=2	27	27	1.000	5	8	6	8	5	8	6	8	5.000	8.000	6.000	8.000
2357	1	sp|Q3TB82|PKHF1_MOUSE	 	 	sp|Q3TB82|PKHF1_MOUSE, sp|Q91WB4|PKHF2_MOUSE	 	8.6	279	31157	Pleckstrin homology domain-containing family F member 1 OS=Mus musculus OX=10090 GN=Plekhf1 PE=2 SV=1	9	2	0.222	3	3	1	2	0	1	1	0	0.000	2.000	1.000	0.000
2358	1	sp|Q3TBD2|HMHA1_MOUSE	 	 	sp|Q3TBD2|HMHA1_MOUSE, sp|Q8VEM1|GOLI_MOUSE	 	8.0	1116	122901	Rho GTPase-activating protein 45 OS=Mus musculus OX=10090 GN=Arhgap45 PE=1 SV=2	14	11	0.786	5	3	2	4	4	2	2	3	4.800	2.400	2.000	3.750
2359	1	sp|Q3TBT3|STING_MOUSE	 	 	 	 	4.2	378	42829	Stimulator of interferon genes protein OS=Mus musculus OX=10090 GN=Sting1 PE=1 SV=2	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000
2360	1	sp|Q3TBW2|RM10_MOUSE	 	 	 	 	51.9	262	29395	Large ribosomal subunit protein uL10m OS=Mus musculus OX=10090 GN=Mrpl10 PE=1 SV=2	30	30	1.000	5	7	8	10	5	7	8	10	5.000	7.000	8.000	10.000
2361	1	sp|Q3TC33|CC127_MOUSE	 	 	 	 	10.8	260	30509	Coiled-coil domain-containing protein 127 OS=Mus musculus OX=10090 GN=Ccdc127 PE=1 SV=2	7	7	1.000	4	2	0	1	4	2	0	1	4.000	2.000	0.000	1.000
2362	1	sp|Q3TC46|PATL1_MOUSE	 	 	 	 	8.4	770	86769	Protein PAT1 homolog 1 OS=Mus musculus OX=10090 GN=Patl1 PE=1 SV=2	13	13	1.000	5	1	4	3	5	1	4	3	5.000	1.000	4.000	3.000
2363	1	sp|Q3TC72|FAH2A_MOUSE	 	 	 	 	61.3	313	34676	Oxaloacetate tautomerase Fahd2a, mitochondrial OS=Mus musculus OX=10090 GN=Fahd2a PE=1 SV=2	111	111	1.000	33	35	18	25	33	35	18	25	33.000	35.000	18.000	25.000
2364	1	sp|Q3TC93|H1BP3_MOUSE	 	 	 	 	20.8	395	43691	HCLS1-binding protein 3 OS=Mus musculus OX=10090 GN=Hs1bp3 PE=1 SV=2	15	15	1.000	5	3	1	6	5	3	1	6	5.000	3.000	1.000	6.000
2365	1	sp|Q3TCH7|CUL4A_MOUSE	 	 	sp|A2A432|CUL4B_MOUSE, sp|Q3TCH7|CUL4A_MOUSE	 	38.6	759	87752	Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1	116	78	0.672	32	24	26	34	23	16	19	20	28.750	20.741	23.290	28.750
2366	1	sp|Q3TCJ1|ABRX2_MOUSE	 	 	 	 	24.8	415	46942	BRISC complex subunit Abraxas 2 OS=Mus musculus OX=10090 GN=Abraxas2 PE=1 SV=1	50	50	1.000	13	16	11	10	13	16	11	10	13.000	16.000	11.000	10.000
2367	1	sp|Q3TCN2|PLBL2_MOUSE	 	 	 	 	23.4	594	66289	Putative phospholipase B-like 2 OS=Mus musculus OX=10090 GN=Plbd2 PE=1 SV=2	58	58	1.000	14	20	9	15	14	20	9	15	14.000	20.000	9.000	15.000
2368	1	sp|Q3TCX3|KHDC4_MOUSE	 	 	 	 	8.8	612	64562	KH homology domain-containing protein 4 OS=Mus musculus OX=10090 GN=Khdc4 PE=1 SV=1	11	11	1.000	3	3	3	2	3	3	3	2	3.000	3.000	3.000	2.000
2369	1	sp|Q3TDD9|PPR21_MOUSE	 	 	REV_Q148B6, sp|Q3TDD9|PPR21_MOUSE	 	41.7	780	88337	Protein phosphatase 1 regulatory subunit 21 OS=Mus musculus OX=10090 GN=Ppp1r21 PE=1 SV=2	87	86	0.989	27	22	20	18	27	22	19	18	27.000	22.000	19.950	18.000
2370	1	sp|Q3TDK6|ROGDI_MOUSE	 	 	 	 	12.2	287	32100	Protein rogdi homolog OS=Mus musculus OX=10090 GN=Rogdi PE=1 SV=2	7	7	1.000	2	2	1	2	2	2	1	2	2.000	2.000	1.000	2.000
2371	1	sp|Q3TDN2|FAF2_MOUSE	 	 	 	 	36.9	445	52471	FAS-associated factor 2 OS=Mus musculus OX=10090 GN=Faf2 PE=1 SV=2	81	81	1.000	21	23	18	19	21	23	18	19	21.000	23.000	18.000	19.000
2372	1	sp|Q3TDQ1|STT3B_MOUSE	 	 	sp|P46978|STT3A_MOUSE, sp|Q3TDQ1|STT3B_MOUSE	 	15.2	823	93245	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Mus musculus OX=10090 GN=Stt3b PE=1 SV=2	105	89	0.848	25	32	23	25	23	28	19	19	23.590	29.231	20.288	21.036
2373	1	sp|Q3TDX8|NB5R4_MOUSE	 	 	 	 	4.4	528	59716	Cytochrome b5 reductase 4 OS=Mus musculus OX=10090 GN=Cyb5r4 PE=2 SV=3	5	5	1.000	1	2	2	0	1	2	2	0	1.000	2.000	2.000	0.000
2374	1	sp|Q3TEA8|HP1B3_MOUSE	 	 	 	 	34.5	554	60866	Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1	159	159	1.000	37	51	34	37	37	51	34	37	37.000	51.000	34.000	37.000
2375	1	sp|Q3TFQ1|SPRY7_MOUSE	 	 	 	 	37.2	196	21681	SPRY domain-containing protein 7 OS=Mus musculus OX=10090 GN=Spryd7 PE=1 SV=2	16	16	1.000	4	5	4	3	4	5	4	3	4.000	5.000	4.000	3.000
2376	1	sp|Q3TGF2|F107B_MOUSE	 	 	 	 	48.1	131	15572	Protein FAM107B OS=Mus musculus OX=10090 GN=Fam107b PE=1 SV=2	36	36	1.000	9	9	11	7	9	9	11	7	9.000	9.000	11.000	7.000
2377	1	sp|Q3TGW2|EEPD1_MOUSE	 	 	 	 	19.5	569	62953	Endonuclease/exonuclease/phosphatase family domain-containing protein 1 OS=Mus musculus OX=10090 GN=Eepd1 PE=1 SV=1	23	23	1.000	8	4	3	8	8	4	3	8	8.000	4.000	3.000	8.000
2378	1	sp|Q3TH73|TTYH2_MOUSE	 	 	 	 	9.6	532	59007	Protein tweety homolog 2 OS=Mus musculus OX=10090 GN=Ttyh2 PE=1 SV=1	23	23	1.000	7	5	5	6	7	5	5	6	7.000	5.000	5.000	6.000
2380	1	sp|Q3THF9|CQ10B_MOUSE	 	 	sp|Q3THF9|CQ10B_MOUSE, tr|A0A1W2P7J1|A0A1W2P7J1_MOUSE	 	23.3	240	27268	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Mus musculus OX=10090 GN=Coq10b PE=1 SV=1	10	6	0.600	1	4	3	2	0	3	2	1	0.000	3.600	2.222	1.167
2381	1	sp|Q3THG9|AASD1_MOUSE	 	 	 	 	36.9	412	44970	Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus OX=10090 GN=Aarsd1 PE=1 SV=2	34	34	1.000	8	12	7	7	8	12	7	7	8.000	12.000	7.000	7.000
2382	1	sp|Q3THK3|T2FA_MOUSE	 	 	 	 	11.4	508	57241	General transcription factor IIF subunit 1 OS=Mus musculus OX=10090 GN=Gtf2f1 PE=1 SV=2	10	10	1.000	3	4	1	2	3	4	1	2	3.000	4.000	1.000	2.000
2383	1	sp|Q3THK7|GUAA_MOUSE	 	 	 	 	53.2	693	76723	GMP synthase [glutamine-hydrolyzing] OS=Mus musculus OX=10090 GN=Gmps PE=1 SV=2	174	174	1.000	50	48	40	36	50	48	40	36	50.000	48.000	40.000	36.000
2384	1	sp|Q3THS6|METK2_MOUSE	 	 	sp|Q3THS6|METK2_MOUSE, sp|Q91X83|METK1_MOUSE	 	38.2	395	43688	S-adenosylmethionine synthase isoform type-2 OS=Mus musculus OX=10090 GN=Mat2a PE=1 SV=2	144	79	0.549	39	39	38	28	19	21	22	17	20.872	22.443	24.627	18.484
2385	1	sp|Q3TIR1|TPC13_MOUSE	 	 	 	 	25.2	417	46476	Trafficking protein particle complex subunit 13 OS=Mus musculus OX=10090 GN=Trappc13 PE=2 SV=1	24	24	1.000	8	2	6	8	8	2	6	8	8.000	2.000	6.000	8.000
2386	1	sp|Q3TIR3|RIC8A_MOUSE	 	 	sp|Q3TIR3|RIC8A_MOUSE, sp|Q80XE1|RIC8B_MOUSE	 	14.0	530	59846	Chaperone Ric-8A OS=Mus musculus OX=10090 GN=Ric8a PE=1 SV=2	16	12	0.750	4	4	5	3	3	3	4	2	4.000	3.750	5.000	3.000
2387	1	sp|Q3TIU4|PDE12_MOUSE	 	 	 	 	16.3	608	67513	2',5'-phosphodiesterase 12 OS=Mus musculus OX=10090 GN=Pde12 PE=1 SV=2	37	37	1.000	9	10	8	10	9	10	8	10	9.000	10.000	8.000	10.000
2388	1	sp|Q3TIV5|ZC3HF_MOUSE	 	 	 	 	26.1	426	48327	Zinc finger CCCH domain-containing protein 15 OS=Mus musculus OX=10090 GN=Zc3h15 PE=1 SV=2	59	59	1.000	20	13	14	12	20	13	14	12	20.000	13.000	14.000	12.000
2389	1	sp|Q3TIW9|ENPP7_MOUSE	 	 	sp|Q3TIW9|ENPP7_MOUSE, sp|Q8BTJ4|ENPP4_MOUSE	 	7.5	439	49617	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 OS=Mus musculus OX=10090 GN=Enpp7 PE=1 SV=1	5	1	0.200	2	0	3	0	0	0	1	0	0.000	0.000	1.500	0.000
2390	1	sp|Q3TIX9|UBP39_MOUSE	 	 	 	 	27.7	564	65146	Ubiquitin carboxyl-terminal hydrolase 39 OS=Mus musculus OX=10090 GN=Usp39 PE=1 SV=2	54	54	1.000	13	20	12	9	13	20	12	9	13.000	20.000	12.000	9.000
2391	1	sp|Q3TJ91|L2GL2_MOUSE	 	 	 	 	18.8	1027	114322	LLGL scribble cell polarity complex component 2 OS=Mus musculus OX=10090 GN=Llgl2 PE=1 SV=2	46	46	1.000	16	11	7	12	16	11	7	12	16.000	11.000	7.000	12.000
2392	1	sp|Q3TJD7|PDLI7_MOUSE	 	 	 	 	11.2	457	50118	PDZ and LIM domain protein 7 OS=Mus musculus OX=10090 GN=Pdlim7 PE=1 SV=1	12	12	1.000	2	4	2	4	2	4	2	4	2.000	4.000	2.000	4.000
2393	1	sp|Q3TJZ6|FA98A_MOUSE	 	 	sp|P59110|SENP1_MOUSE, sp|Q3TJZ6|FA98A_MOUSE, sp|Q80VD1|FA98B_MOUSE	 	26.4	515	55055	Protein FAM98A OS=Mus musculus OX=10090 GN=Fam98a PE=1 SV=1	50	30	0.600	12	17	11	10	8	11	5	6	9.882	14.474	7.917	8.667
2394	1	sp|Q3TKT4|SMCA4_MOUSE	 	 	sp|Q3TKT4|SMCA4_MOUSE, sp|Q6DIC0|SMCA2_MOUSE, tr|A0A087WQ44|A0A087WQ44_MOUSE	 	16.9	1613	181425	Transcription activator BRG1 OS=Mus musculus OX=10090 GN=Smarca4 PE=1 SV=1	66	28	0.424	18	13	16	19	6	6	8	8	11.365	9.462	12.571	13.867
2395	1	sp|Q3TL26|TFB2M_MOUSE	 	 	 	 	15.4	396	45863	Dimethyladenosine transferase 2, mitochondrial OS=Mus musculus OX=10090 GN=Tfb2m PE=2 SV=1	13	13	1.000	4	2	3	4	4	2	3	4	4.000	2.000	3.000	4.000
2396	1	sp|Q3TL44|NLRX1_MOUSE	 	 	 	 	25.4	975	107830	NLR family member X1 OS=Mus musculus OX=10090 GN=Nlrx1 PE=1 SV=1	86	86	1.000	23	24	21	18	23	24	21	18	23.000	24.000	21.000	18.000
2397	1	sp|Q3TLD5|RMP_MOUSE	 	 	 	 	4.0	531	59083	Unconventional prefoldin RPB5 interactor OS=Mus musculus OX=10090 GN=Uri1 PE=1 SV=2	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
2398	1	sp|Q3TLH4|PRC2C_MOUSE	 	 	sp|Q3TLH4|PRC2C_MOUSE, sp|Q7TPM1|PRC2B_MOUSE, sp|Q7TSC1|PRC2A_MOUSE	 	18.1	2846	310889	Protein PRRC2C OS=Mus musculus OX=10090 GN=Prrc2c PE=1 SV=3	135	127	0.941	30	36	40	29	28	34	38	27	28.889	34.873	39.267	27.825
2399	1	sp|Q3TLI0|TPC10_MOUSE	 	 	 	 	4.3	1258	141492	Trafficking protein particle complex subunit 10 OS=Mus musculus OX=10090 GN=Trappc10 PE=1 SV=3	7	7	1.000	2	3	2	0	2	3	2	0	2.000	3.000	2.000	0.000
2400	1	sp|Q3TLP5|ECHD2_MOUSE	 	 	 	 	40.9	296	31852	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Echdc2 PE=1 SV=2	133	133	1.000	35	44	26	28	35	44	26	28	35.000	44.000	26.000	28.000
2401	1	sp|Q3TLS3|GDPP1_MOUSE	 	 	 	 	10.1	386	42514	GDP-D-glucose phosphorylase 1 OS=Mus musculus OX=10090 GN=Gdpgp1 PE=1 SV=2	8	8	1.000	1	2	3	2	1	2	3	2	1.000	2.000	3.000	2.000
2402	1	sp|Q3TMH2|SCRN3_MOUSE	 	 	 	 	27.0	418	47661	Secernin-3 OS=Mus musculus OX=10090 GN=Scrn3 PE=1 SV=1	53	53	1.000	16	16	9	12	16	16	9	12	16.000	16.000	9.000	12.000
2403	1	sp|Q3TMV7|PYRD1_MOUSE	 	 	 	 	3.0	498	55591	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pyroxd1 PE=2 SV=1	8	8	1.000	1	2	2	3	1	2	2	3	1.000	2.000	2.000	3.000
2404	1	sp|Q3TMX7|QSOX2_MOUSE	 	 	 	 	13.9	692	77774	Sulfhydryl oxidase 2 OS=Mus musculus OX=10090 GN=Qsox2 PE=1 SV=1	15	15	1.000	5	3	5	2	5	3	5	2	5.000	3.000	5.000	2.000
2405	1	sp|Q3TN34|MILK2_MOUSE	 	 	 	 	9.6	1009	108287	MICAL-like protein 2 OS=Mus musculus OX=10090 GN=Micall2 PE=1 SV=1	7	7	1.000	2	3	0	2	2	3	0	2	2.000	3.000	0.000	2.000
2406	1	sp|Q3TNA1|XYLB_MOUSE	 	 	 	 	42.1	551	59543	Xylulose kinase OS=Mus musculus OX=10090 GN=Xylb PE=1 SV=1	215	215	1.000	64	64	42	45	64	64	42	45	64.000	64.000	42.000	45.000
2407	1	sp|Q3TNH5|ARB2A_MOUSE	 	 	 	 	14.9	417	48072	Cotranscriptional regulator ARB2A OS=Mus musculus OX=10090 GN=Arb2a PE=1 SV=2	15	15	1.000	5	4	2	4	5	4	2	4	5.000	4.000	2.000	4.000
2408	1	sp|Q3TPE9|ANKY2_MOUSE	 	 	 	 	21.4	440	48774	Ankyrin repeat and MYND domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ankmy2 PE=1 SV=1	18	18	1.000	4	1	8	5	4	1	8	5	4.000	1.000	8.000	5.000
2409	1	sp|Q3TPX4|EXOC5_MOUSE	 	 	 	 	26.6	708	81737	Exocyst complex component 5 OS=Mus musculus OX=10090 GN=Exoc5 PE=1 SV=2	41	41	1.000	12	11	8	10	12	11	8	10	12.000	11.000	8.000	10.000
2410	1	sp|Q3TQB2|FXRD1_MOUSE	 	 	 	 	20.9	487	54177	FAD-dependent oxidoreductase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Foxred1 PE=1 SV=1	37	37	1.000	7	9	9	12	7	9	9	12	7.000	9.000	9.000	12.000
2411	1	sp|Q3TQI7|TLS1_MOUSE	 	 	 	 	11.4	289	33543	Splicing factor C9orf78 homolog OS=Mus musculus OX=10090 PE=1 SV=2	14	14	1.000	2	5	4	3	2	5	4	3	2.000	5.000	4.000	3.000
2412	1	sp|Q3TRM4|PLPL6_MOUSE	 	 	sp|A2AJ88|PLPL7_MOUSE, sp|Q3TRM4|PLPL6_MOUSE	 	14.9	1355	149536	Patatin-like phospholipase domain-containing protein 6 OS=Mus musculus OX=10090 GN=Pnpla6 PE=1 SV=2	39	38	0.974	10	11	11	7	10	10	11	7	10.000	10.476	11.000	7.000
2413	1	sp|Q3TRM8|HXK3_MOUSE	 	 	sp|P52792|HXK4_MOUSE, sp|Q3TRM8|HXK3_MOUSE	 	7.3	922	100100	Hexokinase-3 OS=Mus musculus OX=10090 GN=Hk3 PE=1 SV=2	20	7	0.350	6	6	5	3	3	3	1	0	3.409	3.500	1.296	0.000
2414	1	sp|Q3TT38|ILRUN_MOUSE	 	 	 	 	7.6	291	32081	Protein ILRUN OS=Mus musculus OX=10090 GN=Ilrun PE=2 SV=2	7	7	1.000	2	1	2	2	2	1	2	2	2.000	1.000	2.000	2.000
2415	1	sp|Q3TTA7|CBLB_MOUSE	 	 	sp|P22682|CBL_MOUSE, sp|Q3TTA7|CBLB_MOUSE	 	3.1	982	109091	E3 ubiquitin-protein ligase CBL-B OS=Mus musculus OX=10090 GN=Cblb PE=1 SV=3	4	2	0.500	2	0	1	1	1	0	0	1	1.333	0.000	0.000	1.000
2417	1	sp|Q3TUF7|YETS2_MOUSE	 	 	 	 	3.2	1407	148948	YEATS domain-containing protein 2 OS=Mus musculus OX=10090 GN=Yeats2 PE=1 SV=2	4	4	1.000	0	0	3	1	0	0	3	1	0.000	0.000	3.000	1.000
2418	1	sp|Q3TUH1|TAM41_MOUSE	 	 	 	 	19.9	337	37827	Phosphatidate cytidylyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Tamm41 PE=1 SV=2	17	17	1.000	7	2	5	3	7	2	5	3	7.000	2.000	5.000	3.000
2419	1	sp|Q3TVI8|PBIP1_MOUSE	 	 	 	 	5.5	727	81163	Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Mus musculus OX=10090 GN=Pbxip1 PE=1 SV=2	7	7	1.000	1	1	3	2	1	1	3	2	1.000	1.000	3.000	2.000
