PAW protein_summary_9 results file
written: Sat Nov  8 16:01:30 2025

 	=subtotal(109,B6:B8622)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
1502.0	1	sp|P20491|FCERG_MOUSE	 	23.3	86	9652	High affinity immunoglobulin epsilon receptor subunit gamma OS=Mus musculus OX=10090 GN=Fcer1g PE=1 SV=1	25	25	1.000	2	2	1	2	2	2	2	2	2	2	3	3	2	2	1	2	2	2	2	2	2	2	3	3	2.000	2.000	1.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	3.000	3.000	 
1503.0	1	sp|P20782|ACHE_MOUSE	 	4.9	493	54914	Acetylcholine receptor subunit epsilon OS=Mus musculus OX=10090 GN=Chrne PE=2 SV=1	2	1	0.500	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.200	0.000	0.000	sp|O08738|CASP6_MOUSE, sp|P20782|ACHE_MOUSE
1504.0	1	sp|P20801|TNNC2_MOUSE	 	31.9	160	18110	Troponin C, skeletal muscle OS=Mus musculus OX=10090 GN=Tnnc2 PE=1 SV=2	10	7	0.700	0	0	0	0	0	1	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	3	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.088	4.160	sp|P0DP26|CALM1_MOUSE, sp|P20801|TNNC2_MOUSE
1505.0	1	sp|P20852|CP2A5_MOUSE	 	62.1	494	56740	Cytochrome P450 2A5 OS=Mus musculus OX=10090 GN=Cyp2a5 PE=2 SV=1	307	70	0.228	18	28	19	31	21	33	23	22	32	26	30	24	1	6	5	9	5	4	5	5	9	8	6	7	3.176	14.182	12.315	21.281	10.714	13.356	13.182	12.360	20.669	20.534	19.567	15.652	sp|E9Q5K4|CP2CN_MOUSE, sp|P15392|CP2A4_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE, tr|E9Q593|E9Q593_MOUSE
1506.0	1	sp|P20918|PLMN_MOUSE	 	73.0	812	90807	Plasminogen OS=Mus musculus OX=10090 GN=Plg PE=1 SV=3	599	599	1.000	39	51	52	55	50	48	52	54	46	48	54	50	39	51	52	55	50	48	52	54	46	48	54	50	39.000	51.000	52.000	55.000	50.000	48.000	52.000	54.000	46.000	48.000	54.000	50.000	 
1507.0	1	sp|P21107|TPM3_MOUSE	 	47.0	285	32994	Tropomyosin alpha-3 chain OS=Mus musculus OX=10090 GN=Tpm3 PE=1 SV=3	189	36	0.190	16	21	16	14	17	16	16	15	13	12	16	17	2	4	2	3	4	2	3	2	3	2	4	5	4.162	8.535	4.223	5.385	8.083	3.509	6.245	3.768	5.700	4.145	6.392	7.233	sp|P21107|TPM3_MOUSE, sp|P58771|TPM1_MOUSE, sp|P58774|TPM2_MOUSE, sp|Q6IRU2|TPM4_MOUSE, tr|D3Z2H9|D3Z2H9_MOUSE
1508.0	1	sp|P21126|UBL4A_MOUSE	 	31.8	157	17800	Ubiquitin-like protein 4A OS=Mus musculus OX=10090 GN=Ubl4a PE=1 SV=1	33	33	1.000	2	4	3	4	3	3	3	2	3	2	3	1	2	4	3	4	3	3	3	2	3	2	3	1	2.000	4.000	3.000	4.000	3.000	3.000	3.000	2.000	3.000	2.000	3.000	1.000	 
1509.0	1	sp|P21180|CO2_MOUSE	 	33.7	760	84741	Complement C2 OS=Mus musculus OX=10090 GN=C2 PE=1 SV=2	92	92	1.000	7	7	4	5	8	7	6	11	8	11	8	10	7	7	4	5	8	7	6	11	8	11	8	10	7.000	7.000	4.000	5.000	8.000	7.000	6.000	11.000	8.000	11.000	8.000	10.000	 
1510.0	1	sp|P21271|MYO5B_MOUSE	 	22.3	1818	210568	Unconventional myosin-Vb OS=Mus musculus OX=10090 GN=Myo5b PE=1 SV=2	113	89	0.788	6	7	8	11	6	10	7	15	12	13	8	10	5	7	6	9	5	8	4	11	9	9	7	9	5.714	7.000	8.000	11.000	5.833	9.889	6.500	14.688	11.900	12.392	8.000	10.000	sp|F8VQB6|MYO10_MOUSE, sp|P21271|MYO5B_MOUSE, sp|Q99104|MYO5A_MOUSE
1511.0	1	sp|P21278|GNA11_MOUSE	 	51.5	359	42024	Guanine nucleotide-binding protein subunit alpha-11 OS=Mus musculus OX=10090 GN=Gna11 PE=1 SV=1	129	78	0.605	10	7	9	7	13	11	15	13	11	13	9	11	6	4	6	4	9	6	8	7	7	9	6	6	7.950	5.556	7.667	5.943	11.829	8.181	11.347	9.477	8.692	11.268	7.500	8.143	sp|P21278|GNA11_MOUSE, sp|P21279|GNAQ_MOUSE, sp|P27600|GNA12_MOUSE, sp|P27601|GNA13_MOUSE, sp|P30677|GNA14_MOUSE
1512.0	1	sp|P21279|GNAQ_MOUSE	 	47.4	359	42158	Guanine nucleotide-binding protein G(q) subunit alpha OS=Mus musculus OX=10090 GN=Gnaq PE=1 SV=4	129	86	0.667	12	7	6	5	8	13	15	17	12	12	9	13	9	5	3	3	5	9	9	12	8	9	6	8	10.800	6.111	3.833	3.857	6.071	11.146	11.947	14.913	9.933	10.450	7.500	10.857	sp|P21278|GNA11_MOUSE, sp|P21279|GNAQ_MOUSE, sp|P27600|GNA12_MOUSE, sp|P27601|GNA13_MOUSE, sp|P30677|GNA14_MOUSE
1513.0	1	sp|P21300|ALD1_MOUSE	 	42.1	316	35988	Aldo-keto reductase family 1 member B7 OS=Mus musculus OX=10090 GN=Akr1b7 PE=1 SV=4	60	35	0.583	4	5	5	3	5	6	5	5	4	5	6	7	2	3	4	2	2	3	4	1	2	3	5	4	2.311	3.342	4.056	2.027	3.030	3.766	4.444	2.412	2.209	4.429	5.714	5.242	sp|P21300|ALD1_MOUSE, sp|P45376|ALDR_MOUSE, sp|P45377|ALD2_MOUSE, sp|Q8VC28|AK1CD_MOUSE, tr|G3X9Y6|G3X9Y6_MOUSE, tr|G5E895|G5E895_MOUSE, tr|Q9JLI0|Q9JLI0_MOUSE
1514.0	1	sp|P21440|MDR3_MOUSE	 	43.0	1276	140375	Phosphatidylcholine translocator ABCB4 OS=Mus musculus OX=10090 GN=Abcb4 PE=1 SV=2	298	224	0.752	22	27	26	22	22	31	28	21	26	25	24	24	15	21	21	16	18	23	19	15	21	19	19	17	21.688	26.727	26.000	21.333	21.600	30.315	26.871	21.000	25.652	24.182	23.302	22.647	sp|P06795|MDR1B_MOUSE, sp|P21440|MDR3_MOUSE, sp|P21447|MDR1A_MOUSE, sp|Q9JJ59|ABCB9_MOUSE, sp|Q9QY30|ABCBB_MOUSE
1515.0	1	sp|P21447|MDR1A_MOUSE	 	18.0	1276	140645	ATP-dependent translocase ABCB1 OS=Mus musculus OX=10090 GN=Abcb1a PE=1 SV=3	92	11	0.120	7	7	7	9	6	8	11	6	7	10	6	8	0	1	0	2	2	0	1	0	2	3	0	0	0.000	1.273	1.000	3.667	2.400	0.000	2.414	0.000	3.348	4.818	1.000	0.000	sp|P06795|MDR1B_MOUSE, sp|P21440|MDR3_MOUSE, sp|P21447|MDR1A_MOUSE, sp|Q9JJ59|ABCB9_MOUSE, sp|Q9QY30|ABCBB_MOUSE
1516.0	1	sp|P21460|CYTC_MOUSE	 	53.6	140	15531	Cystatin-C OS=Mus musculus OX=10090 GN=Cst3 PE=1 SV=2	42	42	1.000	2	3	4	2	3	6	4	4	4	4	3	3	2	3	4	2	3	6	4	4	4	4	3	3	2.000	3.000	4.000	2.000	3.000	6.000	4.000	4.000	4.000	4.000	3.000	3.000	 
1517.0	1	sp|P21550|ENOB_MOUSE	 	58.3	434	47024	Beta-enolase OS=Mus musculus OX=10090 GN=Eno3 PE=1 SV=3	748	50	0.067	92	61	51	64	68	74	71	61	57	63	42	44	5	1	2	4	2	5	3	1	3	2	13	9	7.719	1.476	2.980	5.714	3.073	8.255	4.774	1.583	4.820	3.419	16.275	11.987	sp|P17182|ENOA_MOUSE, sp|P17183|ENOG_MOUSE, sp|P21550|ENOB_MOUSE
1518.0	1	sp|P21570|ANGI_MOUSE	 	20.7	145	16228	Angiogenin OS=Mus musculus OX=10090 GN=Ang PE=1 SV=1	26	26	1.000	2	2	2	3	3	2	3	3	2	2	1	1	2	2	2	3	3	2	3	3	2	2	1	1	2.000	2.000	2.000	3.000	3.000	2.000	3.000	3.000	2.000	2.000	1.000	1.000	 
1519.0	1	sp|P21614|VTDB_MOUSE	 	81.7	476	53600	Vitamin D-binding protein OS=Mus musculus OX=10090 GN=Gc PE=1 SV=2	782	782	1.000	72	78	50	45	60	58	65	57	66	54	82	95	72	78	50	45	60	58	65	57	66	54	82	95	72.000	78.000	50.000	45.000	60.000	58.000	65.000	57.000	66.000	54.000	82.000	95.000	 
1520.0	1	sp|P21619|LMNB2_MOUSE	 	59.6	596	67317	Lamin-B2 OS=Mus musculus OX=10090 GN=Lmnb2 PE=1 SV=2	286	244	0.853	24	29	20	22	23	30	26	26	24	22	19	21	21	23	18	18	21	23	23	22	21	19	16	19	22.286	25.421	18.766	19.636	21.750	26.286	24.278	23.725	22.370	20.213	16.839	19.552	sp|P14733|LMNB1_MOUSE, sp|P21619|LMNB2_MOUSE, sp|P48678|LMNA_MOUSE
1521.0	1	sp|P21803|FGFR2_MOUSE	 	6.0	821	91983	Fibroblast growth factor receptor 2 OS=Mus musculus OX=10090 GN=Fgfr2 PE=1 SV=4	13	5	0.385	1	2	1	0	1	1	0	0	1	2	3	1	0	1	0	0	0	0	0	0	0	2	1	1	0.000	1.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.040	1.000	sp|P08103|HCK_MOUSE, sp|P11440|CDK1_MOUSE, sp|P14234|FGR_MOUSE, sp|P21803|FGFR2_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P39688|FYN_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q03142|FGFR4_MOUSE, sp|Q04736|YES_MOUSE, sp|Q04899|CDK18_MOUSE, sp|Q14AX6|CDK12_MOUSE, sp|Q3V3A1|CDK15_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q69ZA1|CDK13_MOUSE, sp|Q80YP0|CDK3_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE, sp|Q9JHU3|CDK20_MOUSE
1522.0	1	sp|P21855|CD72_MOUSE	 	11.3	354	40347	B-cell differentiation antigen CD72 OS=Mus musculus OX=10090 GN=Cd72 PE=1 SV=2	7	7	1.000	0	0	3	2	0	0	0	0	0	1	1	0	0	0	3	2	0	0	0	0	0	1	1	0	0.000	0.000	3.000	2.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	 
1523.0	1	sp|P21956|MFGM_MOUSE	 	12.3	463	51240	Lactadherin OS=Mus musculus OX=10090 GN=Mfge8 PE=1 SV=3	14	14	1.000	0	0	1	2	1	1	4	0	1	1	1	2	0	0	1	2	1	1	4	0	1	1	1	2	0.000	0.000	1.000	2.000	1.000	1.000	4.000	0.000	1.000	1.000	1.000	2.000	 
1524.0	1	sp|P21958|TAP1_MOUSE	 	29.3	724	78863	Antigen peptide transporter 1 OS=Mus musculus OX=10090 GN=Tap1 PE=1 SV=3	62	62	1.000	6	5	5	4	5	2	7	4	7	8	6	3	6	5	5	4	5	2	7	4	7	8	6	3	6.000	5.000	5.000	4.000	5.000	2.000	7.000	4.000	7.000	8.000	6.000	3.000	 
1525.0	1	sp|P21981|TGM2_MOUSE	 	65.7	686	77060	Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus OX=10090 GN=Tgm2 PE=1 SV=4	537	537	1.000	42	42	39	35	40	53	57	53	45	45	38	48	42	42	39	35	40	53	57	53	45	45	38	48	42.000	42.000	39.000	35.000	40.000	53.000	57.000	53.000	45.000	45.000	38.000	48.000	 
1526.0	1	sp|P22315|HEMH_MOUSE	 	56.9	422	47421	Ferrochelatase, mitochondrial OS=Mus musculus OX=10090 GN=Fech PE=1 SV=3	354	354	1.000	32	30	35	33	35	27	25	32	27	26	27	25	32	30	35	33	35	27	25	32	27	26	27	25	32.000	30.000	35.000	33.000	35.000	27.000	25.000	32.000	27.000	26.000	27.000	25.000	 
1527.0	1	sp|P22361|HNF1A_MOUSE	 	23.6	628	67253	Hepatocyte nuclear factor 1-alpha OS=Mus musculus OX=10090 GN=Hnf1a PE=1 SV=2	46	37	0.804	6	2	4	3	3	7	4	2	3	1	5	6	5	1	3	2	2	6	3	2	2	0	5	6	5.833	1.333	3.500	2.667	2.500	6.857	3.600	2.000	2.667	0.000	5.000	6.000	sp|P22361|HNF1A_MOUSE, sp|Q8BJA3|HMBX1_MOUSE
1528.0	1	sp|P22366|MYD88_MOUSE	 	27.7	296	33753	Myeloid differentiation primary response protein MyD88 OS=Mus musculus OX=10090 GN=Myd88 PE=1 SV=3	20	20	1.000	3	2	1	1	2	2	1	2	0	1	2	3	3	2	1	1	2	2	1	2	0	1	2	3	3.000	2.000	1.000	1.000	2.000	2.000	1.000	2.000	0.000	1.000	2.000	3.000	 
1529.0	1	sp|P22437|PGH1_MOUSE	 	29.7	602	69042	Prostaglandin G/H synthase 1 OS=Mus musculus OX=10090 GN=Ptgs1 PE=1 SV=1	101	101	1.000	7	10	7	7	10	14	11	8	5	8	5	9	7	10	7	7	10	14	11	8	5	8	5	9	7.000	10.000	7.000	7.000	10.000	14.000	11.000	8.000	5.000	8.000	5.000	9.000	 
1530.0	1	sp|P22599|A1AT2_MOUSE	 	63.2	413	45974	Alpha-1-antitrypsin 1-2 OS=Mus musculus OX=10090 GN=Serpina1b PE=1 SV=2	541	104	0.192	53	57	46	50	42	36	49	50	42	37	41	38	10	10	12	13	10	7	8	9	7	6	7	5	21.259	20.662	23.255	32.465	22.172	14.631	22.569	23.698	22.327	16.483	17.188	12.271	sp|P07758|A1AT1_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00898|A1AT5_MOUSE
1531.0	1	sp|P22682|CBL_MOUSE	 	20.8	913	100563	E3 ubiquitin-protein ligase CBL OS=Mus musculus OX=10090 GN=Cbl PE=1 SV=3	37	31	0.838	4	2	2	2	4	3	5	5	1	1	5	3	3	2	2	2	2	3	5	5	1	0	4	2	4.000	2.000	2.000	2.000	4.000	3.000	5.000	5.000	1.000	0.500	4.800	2.667	sp|P22682|CBL_MOUSE, sp|Q3TTA7|CBLB_MOUSE
1532.0	1	sp|P22892|AP1G1_MOUSE	 	51.9	822	91349	AP-1 complex subunit gamma-1 OS=Mus musculus OX=10090 GN=Ap1g1 PE=1 SV=3	315	308	0.978	23	31	27	26	29	24	28	26	24	27	23	27	21	30	27	26	27	24	28	26	24	27	22	26	22.909	30.968	27.000	26.000	28.929	24.000	28.000	26.000	24.000	27.000	22.917	26.963	sp|O88512|AP1G2_MOUSE, sp|P22892|AP1G1_MOUSE
1533.0	1	sp|P22907|HEM3_MOUSE	 	53.7	361	39344	Porphobilinogen deaminase OS=Mus musculus OX=10090 GN=Hmbs PE=1 SV=2	161	161	1.000	16	15	15	13	16	21	15	11	11	11	9	8	16	15	15	13	16	21	15	11	11	11	9	8	16.000	15.000	15.000	13.000	16.000	21.000	15.000	11.000	11.000	11.000	9.000	8.000	 
1534.0	1	sp|P23116|EIF3A_MOUSE	 	43.6	1344	161934	Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5	633	633	1.000	40	61	52	58	59	62	64	57	54	54	33	39	40	61	52	58	59	62	64	57	54	54	33	39	40.000	61.000	52.000	58.000	59.000	62.000	64.000	57.000	54.000	54.000	33.000	39.000	 
1535.0	1	sp|P23188|FURIN_MOUSE	 	18.3	793	86771	Furin OS=Mus musculus OX=10090 GN=Furin PE=1 SV=2	25	25	1.000	3	1	1	1	2	4	3	2	1	6	0	1	3	1	1	1	2	4	3	2	1	6	0	1	3.000	1.000	1.000	1.000	2.000	4.000	3.000	2.000	1.000	6.000	0.000	1.000	 
1536.0	1	sp|P23198|CBX3_MOUSE	 	42.6	183	20855	Chromobox protein homolog 3 OS=Mus musculus OX=10090 GN=Cbx3 PE=1 SV=2	159	64	0.403	23	17	14	12	15	14	9	14	17	11	6	7	6	7	7	4	4	4	3	7	8	5	4	5	16.000	12.308	10.692	7.500	8.109	7.798	4.867	10.859	12.733	7.262	4.889	5.917	sp|P23198|CBX3_MOUSE, sp|P83917|CBX1_MOUSE, sp|Q61686|CBX5_MOUSE
1537.0	1	sp|P23204|PPARA_MOUSE	 	30.1	468	52347	Peroxisome proliferator-activated receptor alpha OS=Mus musculus OX=10090 GN=Ppara PE=1 SV=2	34	34	1.000	3	1	3	2	2	2	3	2	6	2	4	4	3	1	3	2	2	2	3	2	6	2	4	4	3.000	1.000	3.000	2.000	2.000	2.000	3.000	2.000	6.000	2.000	4.000	4.000	 
1538.0	1	sp|P23249|MOV10_MOUSE	 	55.4	1004	113581	Putative helicase MOV-10 OS=Mus musculus OX=10090 GN=Mov10 PE=1 SV=2	342	342	1.000	25	27	32	27	28	27	36	30	32	31	24	23	25	27	32	27	28	27	36	30	32	31	24	23	25.000	27.000	32.000	27.000	28.000	27.000	36.000	30.000	32.000	31.000	24.000	23.000	 
1539.0	1	sp|P23298|KPCL_MOUSE	 	7.2	683	77918	Protein kinase C eta type OS=Mus musculus OX=10090 GN=Prkch PE=1 SV=2	13	5	0.385	0	2	1	0	2	1	1	2	0	1	1	2	0	1	1	0	1	0	0	1	0	0	0	1	0.000	2.000	1.000	0.000	1.500	0.500	0.000	1.333	0.000	0.000	0.000	2.000	sp|P16054|KPCE_MOUSE, sp|P20444|KPCA_MOUSE, sp|P23298|KPCL_MOUSE, sp|P28867|KPCD_MOUSE, sp|P68404|KPCB_MOUSE, sp|Q02111|KPCT_MOUSE
1540.0	1	sp|P23475|XRCC6_MOUSE	 	48.5	608	69484	X-ray repair cross-complementing protein 6 OS=Mus musculus OX=10090 GN=Xrcc6 PE=1 SV=5	137	137	1.000	11	8	9	9	12	11	10	10	9	13	12	23	11	8	9	9	12	11	10	10	9	13	12	23	11.000	8.000	9.000	9.000	12.000	11.000	10.000	10.000	9.000	13.000	12.000	23.000	 
1541.0	1	sp|P23492|PNPH_MOUSE	 	72.0	289	32277	Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=2	519	273	0.526	45	39	43	39	35	39	42	45	35	32	65	60	22	23	21	24	19	20	22	27	16	20	30	29	44.000	39.000	42.000	39.000	35.000	39.000	41.130	43.759	33.882	32.000	65.000	60.000	sp|P23492|PNPH_MOUSE, tr|Q9D8C9|Q9D8C9_MOUSE
1542.0	1	sp|P23506|PIMT_MOUSE	 	36.1	227	24634	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Mus musculus OX=10090 GN=Pcmt1 PE=1 SV=3	79	79	1.000	7	6	6	8	7	7	8	8	8	6	3	5	7	6	6	8	7	7	8	8	8	6	3	5	7.000	6.000	6.000	8.000	7.000	7.000	8.000	8.000	8.000	6.000	3.000	5.000	 
1543.0	1	sp|P23589|CAH5A_MOUSE	 	53.2	299	34072	Carbonic anhydrase 5A, mitochondrial OS=Mus musculus OX=10090 GN=Ca5a PE=1 SV=2	215	215	1.000	21	18	16	20	24	20	15	17	17	16	15	16	21	18	16	20	24	20	15	17	17	16	15	16	21.000	18.000	16.000	20.000	24.000	20.000	15.000	17.000	17.000	16.000	15.000	16.000	 
1544.0	1	sp|P23591|FCL_MOUSE	 	64.8	321	35877	GDP-L-fucose synthase OS=Mus musculus OX=10090 GN=Gfus PE=1 SV=3	172	172	1.000	12	12	12	9	12	20	16	19	18	19	8	15	12	12	12	9	12	20	16	19	18	19	8	15	12.000	12.000	12.000	9.000	12.000	20.000	16.000	19.000	18.000	19.000	8.000	15.000	 
1545.0	1	sp|P23708|NFYA_MOUSE	 	11.6	346	36778	Nuclear transcription factor Y subunit alpha OS=Mus musculus OX=10090 GN=Nfya PE=1 SV=2	20	20	1.000	3	2	1	2	4	1	1	2	2	1	1	0	3	2	1	2	4	1	1	2	2	1	1	0	3.000	2.000	1.000	2.000	4.000	1.000	1.000	2.000	2.000	1.000	1.000	0.000	 
1546.0	1	sp|P23780|BGAL_MOUSE	 	22.1	647	73120	Beta-galactosidase OS=Mus musculus OX=10090 GN=Glb1 PE=1 SV=1	84	80	0.952	5	2	6	9	11	8	7	8	6	4	7	11	5	2	5	8	10	8	7	7	6	4	7	11	5.000	2.000	5.714	8.727	10.769	8.000	7.000	7.875	6.000	4.000	7.000	11.000	sp|P23780|BGAL_MOUSE, sp|Q8VC60|GLB1L_MOUSE
1547.0	1	sp|P23798|PCGF2_MOUSE	 	8.5	342	37723	Polycomb group RING finger protein 2 OS=Mus musculus OX=10090 GN=Pcgf2 PE=1 SV=2	4	1	0.250	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	sp|P23798|PCGF2_MOUSE, sp|P25916|BMI1_MOUSE
1548.0	1	sp|P23881|TCEA3_MOUSE	 	29.7	347	38849	Transcription elongation factor A protein 3 OS=Mus musculus OX=10090 GN=Tcea3 PE=1 SV=3	31	31	1.000	3	3	1	2	2	4	2	2	2	2	2	6	3	3	1	2	2	4	2	2	2	2	2	6	3.000	3.000	1.000	2.000	2.000	4.000	2.000	2.000	2.000	2.000	2.000	6.000	 
1549.0	1	sp|P23906|IRF2_MOUSE	 	9.2	349	39452	Interferon regulatory factor 2 OS=Mus musculus OX=10090 GN=Irf2 PE=1 SV=1	13	13	1.000	2	1	2	1	1	1	1	1	1	1	0	1	2	1	2	1	1	1	1	1	1	1	0	1	2.000	1.000	2.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	 
1550.0	1	sp|P23949|TISD_MOUSE	 	12.4	484	50069	mRNA decay activator protein ZFP36L2 OS=Mus musculus OX=10090 GN=Zfp36l2 PE=1 SV=2	15	11	0.733	1	1	3	0	0	0	4	0	2	0	1	3	0	1	2	0	0	0	4	0	2	0	0	2	0.500	1.000	2.667	0.000	0.000	0.000	4.000	0.000	2.000	0.000	0.000	2.500	sp|P23949|TISD_MOUSE, sp|P23950|TISB_MOUSE
1551.0	1	sp|P23950|TISB_MOUSE	 	19.5	338	36384	mRNA decay activator protein ZFP36L1 OS=Mus musculus OX=10090 GN=Zfp36l1 PE=1 SV=1	23	19	0.826	1	2	2	2	2	0	0	2	1	3	5	3	0	2	1	2	2	0	0	2	1	3	4	2	0.500	2.000	1.333	2.000	2.000	0.000	0.000	2.000	1.000	3.000	5.000	2.500	sp|P23949|TISD_MOUSE, sp|P23950|TISB_MOUSE
1552.0	1	sp|P23953|EST1C_MOUSE	 	46.0	554	61055	Carboxylesterase 1C OS=Mus musculus OX=10090 GN=Ces1c PE=1 SV=4	270	146	0.541	28	24	23	21	18	26	29	21	20	19	20	21	11	11	12	11	9	15	17	12	12	12	13	11	15.912	14.927	15.940	14.856	11.622	19.476	21.300	14.684	14.514	14.362	14.952	14.494	sp|P23953|EST1C_MOUSE, sp|Q64176|EST1E_MOUSE, sp|Q8VCC2|EST1_MOUSE, sp|Q8VCT4|EST1D_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, tr|E9PYP1|E9PYP1_MOUSE
1553.0	1	sp|P24063|ITAL_MOUSE	 	23.5	1162	128312	Integrin alpha-L OS=Mus musculus OX=10090 GN=Itgal PE=1 SV=3	46	46	1.000	5	4	1	1	2	4	2	5	3	5	8	6	5	4	1	1	2	4	2	5	3	5	8	6	5.000	4.000	1.000	1.000	2.000	4.000	2.000	5.000	3.000	5.000	8.000	6.000	 
1554.0	1	sp|P24270|CATA_MOUSE	 	80.5	527	59795	Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4	2024	2022	0.999	197	201	152	164	151	159	167	159	161	148	168	197	197	201	152	164	151	159	167	159	161	148	167	196	197.000	201.000	152.000	164.000	151.000	159.000	167.000	159.000	161.000	148.000	168.000	197.000	sp|P24270|CATA_MOUSE, sp|Q8BI29|SARG_MOUSE
1555.0	1	sp|P24369|PPIB_MOUSE	 	61.6	216	23713	Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2	362	362	1.000	42	33	33	24	22	44	31	35	19	27	28	24	42	33	33	24	22	44	31	35	19	27	28	24	42.000	33.000	33.000	24.000	22.000	44.000	31.000	35.000	19.000	27.000	28.000	24.000	 
1556.0	1	sp|P24452|CAPG_MOUSE	 	22.7	352	39240	Macrophage-capping protein OS=Mus musculus OX=10090 GN=Capg PE=1 SV=2	38	38	1.000	2	3	2	3	3	2	4	5	2	3	5	4	2	3	2	3	3	2	4	5	2	3	5	4	2.000	3.000	2.000	3.000	3.000	2.000	4.000	5.000	2.000	3.000	5.000	4.000	 
1557.0	1	sp|P24456|CP2DA_MOUSE	 	53.4	504	57233	Cytochrome P450 2D10 OS=Mus musculus OX=10090 GN=Cyp2d10 PE=1 SV=2	359	141	0.393	27	32	30	27	35	30	27	34	26	26	31	34	12	17	10	9	14	11	12	14	11	12	9	10	19.575	24.822	20.413	16.519	25.299	20.235	19.692	24.693	16.854	19.535	18.506	22.029	sp|O54749|CP2J5_MOUSE, sp|O54750|CP2J6_MOUSE, sp|P11714|CP2D9_MOUSE, sp|P24456|CP2DA_MOUSE, sp|P24457|CP2DB_MOUSE, sp|Q8CIM7|CP2DQ_MOUSE, tr|G3UXT0|G3UXT0_MOUSE, tr|G3UZ38|G3UZ38_MOUSE, tr|L7N463|L7N463_MOUSE, tr|Q3UNV4|Q3UNV4_MOUSE, tr|Q6P8N9|Q6P8N9_MOUSE, tr|Q8BVD2|Q8BVD2_MOUSE, tr|Q9JKY7|Q9JKY7_MOUSE
1558.0	1	sp|P24457|CP2DB_MOUSE	 	16.3	504	56987	Cytochrome P450 2D11 OS=Mus musculus OX=10090 GN=Cyp2d11 PE=2 SV=2	182	0	0.000	14	11	16	17	16	16	15	17	14	10	17	19	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	sp|O54749|CP2J5_MOUSE, sp|O54750|CP2J6_MOUSE, sp|P11714|CP2D9_MOUSE, sp|P24456|CP2DA_MOUSE, sp|P24457|CP2DB_MOUSE, sp|P27786|CP17A_MOUSE, sp|Q8CIM7|CP2DQ_MOUSE, tr|G3UXT0|G3UXT0_MOUSE, tr|G3UZ38|G3UZ38_MOUSE, tr|L7N463|L7N463_MOUSE, tr|Q3UNV4|Q3UNV4_MOUSE, tr|Q6P8N9|Q6P8N9_MOUSE, tr|Q8BVD2|Q8BVD2_MOUSE, tr|Q9JKY7|Q9JKY7_MOUSE
1559.0	1	sp|P24472|GSTA4_MOUSE	 	49.1	222	25564	Glutathione S-transferase A4 OS=Mus musculus OX=10090 GN=Gsta4 PE=1 SV=3	235	221	0.940	24	22	15	31	22	20	19	15	19	16	17	15	23	20	15	30	20	18	19	15	17	16	15	13	23.180	20.278	15.000	30.210	20.261	18.255	19.000	15.000	17.266	16.000	15.385	13.317	sp|P13745|GSTA1_MOUSE, sp|P24472|GSTA4_MOUSE, sp|P30115|GSTA3_MOUSE
