Program "PAW_protein_grouper.py" run on Tue Oct 28 09:49:56 2025


	=SUBTOTAL(109,B6:B6331)																					
462	1	sp|O35737|HNRH1_MOUSE	 	 	sp|O35737|HNRH1_MOUSE, sp|P70333|HNRH2_MOUSE, sp|Q9Z2X1|HNRPF_MOUSE, tr|D3YWT1|D3YWT1_MOUSE	 	24.3	449	49199	Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus OX=10090 GN=Hnrnph1 PE=1 SV=3	58	8	0.138	22	18	18	2	3	3	4.380	5.072	5.339
463	1	sp|O35744|CHIL3_MOUSE	 	 	 	 	24.4	398	44458	Chitinase-like protein 3 OS=Mus musculus OX=10090 GN=Chil3 PE=1 SV=2	12	12	1.000	4	3	5	4	3	5	4.000	3.000	5.000
464	1	sp|O35841|API5_MOUSE	 	 	 	 	27.6	504	56784	Apoptosis inhibitor 5 OS=Mus musculus OX=10090 GN=Api5 PE=1 SV=2	53	53	1.000	20	17	16	20	17	16	20.000	17.000	16.000
465	1	sp|O35855|BCAT2_MOUSE	 	 	 	 	10.7	393	44127	Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Bcat2 PE=1 SV=2	7	7	1.000	3	3	1	3	3	1	3.000	3.000	1.000
466	1	sp|O35857|TIM44_MOUSE	 	 	 	 	49.8	452	51091	Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus OX=10090 GN=Timm44 PE=1 SV=2	97	97	1.000	27	36	34	27	36	34	27.000	36.000	34.000
467	1	sp|O35864|CSN5_MOUSE	 	 	 	 	35.9	334	37548	COP9 signalosome complex subunit 5 OS=Mus musculus OX=10090 GN=Cops5 PE=1 SV=3	21	21	1.000	8	6	7	8	6	7	8.000	6.000	7.000
468	1	sp|O35887|CALU_MOUSE	 	 	 	 	47.6	315	37063	Calumenin OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1	41	41	1.000	14	11	16	14	11	16	14.000	11.000	16.000
469	1	sp|O35892|SP100_MOUSE	 	 	 	 	9.8	482	54726	Nuclear autoantigen Sp-100 OS=Mus musculus OX=10090 GN=Sp100 PE=1 SV=2	8	8	1.000	2	4	2	2	4	2	2.000	4.000	2.000
470	1	sp|O35900|LSM2_MOUSE	 	 	 	 	38.9	95	10834	U6 snRNA-associated Sm-like protein LSm2 OS=Mus musculus OX=10090 GN=Lsm2 PE=1 SV=1	11	11	1.000	4	4	3	4	4	3	4.000	4.000	3.000
471	1	sp|O35943|FRDA_MOUSE	 	 	 	 	27.5	207	22924	Frataxin, mitochondrial OS=Mus musculus OX=10090 GN=Fxn PE=1 SV=1	12	12	1.000	4	3	5	4	3	5	4.000	3.000	5.000
472	1	sp|O35945|AL1A7_MOUSE	 	 	sp|O35945|AL1A7_MOUSE, sp|P24549|AL1A1_MOUSE, sp|P47738|ALDH2_MOUSE, sp|Q62148|AL1A2_MOUSE, sp|Q9CZS1|AL1B1_MOUSE	 	57.7	501	54587	Aldehyde dehydrogenase, cytosolic 1 OS=Mus musculus OX=10090 GN=Aldh1a7 PE=1 SV=1	794	253	0.319	253	262	279	81	85	87	133.734	137.770	144.618
473	1	sp|O35955|PSB10_MOUSE	 	 	 	 	25.3	273	29063	Proteasome subunit beta type-10 OS=Mus musculus OX=10090 GN=Psmb10 PE=1 SV=1	21	21	1.000	6	8	7	6	8	7	6.000	8.000	7.000
474	1	sp|O35963|RB33B_MOUSE	 	 	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P56371|RAB4A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P62823|RAB3C_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8BHC1|RB39B_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q923S9|RAB30_MOUSE, sp|Q9CZT8|RAB3B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE	 	16.6	229	25766	Ras-related protein Rab-33B OS=Mus musculus OX=10090 GN=Rab33b PE=1 SV=1	28	5	0.179	10	10	8	2	2	1	2.115	2.115	1.101
475	1	sp|O35969|GAMT_MOUSE	 	 	 	 	49.2	236	26336	Guanidinoacetate N-methyltransferase OS=Mus musculus OX=10090 GN=Gamt PE=1 SV=1	51	51	1.000	19	17	15	19	17	15	19.000	17.000	15.000
476	1	sp|O35972|RM23_MOUSE	 	 	 	 	58.9	146	17121	Large ribosomal subunit protein uL23m OS=Mus musculus OX=10090 GN=Mrpl23 PE=1 SV=1	16	16	1.000	3	7	6	3	7	6	3.000	7.000	6.000
477	1	sp|O35988|SDC4_MOUSE	 	 	 	 	19.7	198	21482	Syndecan-4 OS=Mus musculus OX=10090 GN=Sdc4 PE=1 SV=1	8	8	1.000	4	3	1	4	3	1	4.000	3.000	1.000
478	1	sp|O54692|ZW10_MOUSE	 	 	 	 	15.3	779	88062	Centromere/kinetochore protein zw10 homolog OS=Mus musculus OX=10090 GN=Zw10 PE=1 SV=3	13	13	1.000	5	7	1	5	7	1	5.000	7.000	1.000
479	1	sp|O54724|CAVN1_MOUSE	 	 	 	 	30.9	392	43953	Caveolae-associated protein 1 OS=Mus musculus OX=10090 GN=Cavin1 PE=1 SV=1	26	26	1.000	9	11	6	9	11	6	9.000	11.000	6.000
480	1	sp|O54734|OST48_MOUSE	 	 	 	 	29.0	441	49027	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus OX=10090 GN=Ddost PE=1 SV=2	126	126	1.000	39	39	48	39	39	48	39.000	39.000	48.000
483	1	sp|O54754|AOXA_MOUSE	 	 	sp|G3X982|AOXC_MOUSE, sp|O54754|AOXA_MOUSE	 	28.7	1333	146676	Aldehyde oxidase 1 OS=Mus musculus OX=10090 GN=Aox1 PE=1 SV=2	127	105	0.827	41	45	41	34	39	32	36.003	40.717	34.575
484	1	sp|O54774|AP3D1_MOUSE	 	 	 	 	29.1	1199	135080	AP-3 complex subunit delta-1 OS=Mus musculus OX=10090 GN=Ap3d1 PE=1 SV=1	80	80	1.000	25	27	28	25	27	28	25.000	27.000	28.000
485	1	sp|O54781|SRPK2_MOUSE	 	 	 	 	3.4	681	76756	SRSF protein kinase 2 OS=Mus musculus OX=10090 GN=Srpk2 PE=1 SV=2	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
486	1	sp|O54782|MA2B2_MOUSE	 	 	 	 	7.9	1018	115608	Epididymis-specific alpha-mannosidase OS=Mus musculus OX=10090 GN=Man2b2 PE=1 SV=2	19	19	1.000	6	8	5	6	8	5	6.000	8.000	5.000
487	1	sp|O54784|DAPK3_MOUSE	 	 	sp|O54784|DAPK3_MOUSE, sp|Q8VDF3|DAPK2_MOUSE	 	7.4	448	51421	Death-associated protein kinase 3 OS=Mus musculus OX=10090 GN=Dapk3 PE=1 SV=1	4	2	0.500	2	2	0	1	1	0	1.333	2.000	0.000
488	1	sp|O54786|DFFA_MOUSE	 	 	 	 	13.0	331	36572	DNA fragmentation factor subunit alpha OS=Mus musculus OX=10090 GN=Dffa PE=1 SV=2	11	11	1.000	3	4	4	3	4	4	3.000	4.000	4.000
489	1	sp|O54788|DFFB_MOUSE	 	 	 	 	6.7	344	39449	DNA fragmentation factor subunit beta OS=Mus musculus OX=10090 GN=Dffb PE=1 SV=1	19	19	1.000	6	6	7	6	6	7	6.000	6.000	7.000
490	1	sp|O54804|CHKA_MOUSE	 	 	 	 	9.9	453	51984	Choline kinase alpha OS=Mus musculus OX=10090 GN=Chka PE=1 SV=3	8	8	1.000	2	3	3	2	3	3	2.000	3.000	3.000
491	1	sp|O54824|IL16_MOUSE	 	 	 	 	2.7	1322	141433	Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3	8	8	1.000	3	2	3	3	2	3	3.000	2.000	3.000
492	1	sp|O54825|BYST_MOUSE	 	 	 	 	21.6	436	49783	Bystin OS=Mus musculus OX=10090 GN=Bysl PE=1 SV=3	12	12	1.000	5	5	2	5	5	2	5.000	5.000	2.000
493	1	sp|O54833|CSK22_MOUSE	 	 	sp|O54833|CSK22_MOUSE, sp|Q60737|CSK21_MOUSE	 	42.6	350	41215	Casein kinase II subunit alpha' OS=Mus musculus OX=10090 GN=Csnk2a2 PE=1 SV=1	28	22	0.786	10	7	11	8	5	9	9.067	5.833	10.000
494	1	sp|O54865|GCYB1_MOUSE	 	 	 	 	17.7	620	70597	Guanylate cyclase soluble subunit beta-1 OS=Mus musculus OX=10090 GN=Gucy1b1 PE=1 SV=1	22	22	1.000	6	9	7	6	9	7	6.000	9.000	7.000
495	1	sp|O54879|HMGB3_MOUSE	 	 	 	 	20.0	200	23010	High mobility group protein B3 OS=Mus musculus OX=10090 GN=Hmgb3 PE=1 SV=3	8	8	1.000	3	2	3	3	2	3	3.000	2.000	3.000
496	1	sp|O54890|ITB3_MOUSE	 	 	 	 	12.3	787	86738	Integrin beta-3 OS=Mus musculus OX=10090 GN=Itgb3 PE=1 SV=2	13	13	1.000	3	5	5	3	5	5	3.000	5.000	5.000
497	1	sp|O54909|RDH16_MOUSE	 	 	sp|O54909|RDH16_MOUSE, sp|O88451|RDH7_MOUSE, sp|Q9R092|H17B6_MOUSE, tr|G5E8H9|G5E8H9_MOUSE, tr|Q8CGV4|Q8CGV4_MOUSE, tr|Q8K3M1|Q8K3M1_MOUSE, tr|Q8K5C8|Q8K5C8_MOUSE	 	55.2	317	35743	Retinol dehydrogenase 16 OS=Mus musculus OX=10090 GN=Rdh16 PE=1 SV=1	164	5	0.030	60	52	52	2	2	1	13.113	9.778	8.585
498	1	sp|O54916|REPS1_MOUSE	 	 	sp|O54916|REPS1_MOUSE, sp|Q80XA6|REPS2_MOUSE	 	9.2	795	86518	RalBP1-associated Eps domain-containing protein 1 OS=Mus musculus OX=10090 GN=Reps1 PE=1 SV=2	15	12	0.800	6	4	5	5	3	4	5.500	3.429	4.500
499	1	sp|O54931|AKAP2_MOUSE	 	 	 	 	16.3	1089	120790	PALM2-AKAP2 fusion protein OS=Mus musculus OX=10090 GN=Pakap PE=1 SV=4	33	32	0.970	12	11	10	11	11	10	12.000	11.000	10.000
500	1	sp|O54941|SMCE1_MOUSE	 	 	sp|O54941|SMCE1_MOUSE, sp|P46460|NSF_MOUSE	 	29.2	411	46638	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Mus musculus OX=10090 GN=Smarce1 PE=1 SV=1	24	18	0.750	9	9	6	7	7	4	7.359	7.400	4.195
501	1	sp|O54946|DNJB6_MOUSE	 	 	sp|O54946|DNJB6_MOUSE, sp|Q9QYI5|DNJB2_MOUSE	 	17.5	365	39807	DnaJ homolog subfamily B member 6 OS=Mus musculus OX=10090 GN=Dnajb6 PE=1 SV=4	14	11	0.786	5	4	5	4	3	4	4.400	3.429	4.400
502	1	sp|O54950|AAKG1_MOUSE	 	 	sp|O54950|AAKG1_MOUSE, sp|Q91WG5|AAKG2_MOUSE	 	39.4	330	37520	5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus OX=10090 GN=Prkag1 PE=1 SV=2	37	27	0.730	13	12	12	9	9	9	12.600	11.700	11.455
503	1	sp|O54962|BAF_MOUSE	 	 	 	 	15.7	89	10102	Barrier-to-autointegration factor OS=Mus musculus OX=10090 GN=Banf1 PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
504	1	sp|O54965|RNF13_MOUSE	 	 	 	 	15.0	381	42732	E3 ubiquitin-protein ligase RNF13 OS=Mus musculus OX=10090 GN=Rnf13 PE=1 SV=2	8	8	1.000	2	3	3	2	3	3	2.000	3.000	3.000
505	1	sp|O54983|CRYM_MOUSE	 	 	 	 	36.4	313	33523	Ketimine reductase mu-crystallin OS=Mus musculus OX=10090 GN=Crym PE=1 SV=1	78	78	1.000	28	23	27	28	23	27	28.000	23.000	27.000
506	1	sp|O54984|GET3_MOUSE	 	 	 	 	29.9	348	38822	ATPase GET3 OS=Mus musculus OX=10090 GN=Get3 PE=1 SV=2	32	32	1.000	10	12	10	10	12	10	10.000	12.000	10.000
507	1	sp|O54988|SLK_MOUSE	 	 	sp|O54988|SLK_MOUSE, sp|O55098|STK10_MOUSE, sp|Q5SXY1|CYTSB_MOUSE	 	20.0	1233	141455	STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2	60	57	0.950	20	20	20	19	18	20	19.864	19.900	20.000
508	1	sp|O55003|BNIP3_MOUSE	 	 	 	 	33.7	187	20978	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Mus musculus OX=10090 GN=Bnip3 PE=1 SV=1	17	17	1.000	7	5	5	7	5	5	7.000	5.000	5.000
509	1	sp|O55013|TPPC3_MOUSE	 	 	 	 	31.7	180	20302	Trafficking protein particle complex subunit 3 OS=Mus musculus OX=10090 GN=Trappc3 PE=1 SV=1	18	18	1.000	5	6	7	5	6	7	5.000	6.000	7.000
510	1	sp|O55022|PGRC1_MOUSE	 	 	sp|O55022|PGRC1_MOUSE, sp|Q80UU9|PGRC2_MOUSE	 	61.5	195	21694	Membrane-associated progesterone receptor component 1 OS=Mus musculus OX=10090 GN=Pgrmc1 PE=1 SV=4	105	93	0.886	41	36	28	37	32	24	40.217	35.048	26.824
511	1	sp|O55023|IMPA1_MOUSE	 	 	 	 	43.3	277	30436	Inositol monophosphatase 1 OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1	45	45	1.000	14	15	16	14	15	16	14.000	15.000	16.000
512	1	sp|O55029|COPB2_MOUSE	 	 	 	 	45.4	905	102448	Coatomer subunit beta' OS=Mus musculus OX=10090 GN=Copb2 PE=1 SV=2	178	178	1.000	61	58	59	61	58	59	61.000	58.000	59.000
513	1	sp|O55042|SYUA_MOUSE	 	 	 	 	54.3	140	14485	Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2	23	23	1.000	7	7	9	7	7	9	7.000	7.000	9.000
514	1	sp|O55047|TLK2_MOUSE	 	 	sp|O55047|TLK2_MOUSE, sp|P18653|KS6A1_MOUSE, sp|P18654|KS6A3_MOUSE, sp|Q3U214|MAST3_MOUSE, sp|Q7TPS0|KS6A6_MOUSE, sp|Q9R1L5|MAST1_MOUSE	 	3.5	718	82260	Serine/threonine-protein kinase tousled-like 2 OS=Mus musculus OX=10090 GN=Tlk2 PE=1 SV=2	5	1	0.200	1	2	2	0	1	0	0.027	1.027	0.054
515	1	sp|O55060|TPMT_MOUSE	 	 	 	 	54.2	240	27585	Thiopurine S-methyltransferase OS=Mus musculus OX=10090 GN=Tpmt PE=1 SV=1	70	70	1.000	26	19	25	26	19	25	26.000	19.000	25.000
516	1	sp|O55071|CP2BJ_MOUSE	 	 	sp|O55071|CP2BJ_MOUSE, sp|P12790|CP2B9_MOUSE, sp|P12791|CP2BA_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, tr|E9Q593|E9Q593_MOUSE, tr|Q9WV19|Q9WV19_MOUSE	 	13.0	492	55996	Cytochrome P450 2B19 OS=Mus musculus OX=10090 GN=Cyp2b19 PE=2 SV=1	33	0	0.000	9	11	13	0	0	0	0.000	0.000	0.000
517	1	sp|O55098|STK10_MOUSE	 	 	sp|O54988|SLK_MOUSE, sp|O55098|STK10_MOUSE	 	5.1	966	111905	Serine/threonine-protein kinase 10 OS=Mus musculus OX=10090 GN=Stk10 PE=1 SV=2	7	5	0.714	4	3	0	3	2	0	3.136	2.100	0.000
518	1	sp|O55101|SNG2_MOUSE	 	 	 	 	7.6	224	24778	Synaptogyrin-2 OS=Mus musculus OX=10090 GN=Syngr2 PE=2 SV=1	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
519	1	sp|O55102|BL1S1_MOUSE	 	 	 	 	37.6	125	14281	Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Mus musculus OX=10090 GN=Bloc1s1 PE=1 SV=2	10	10	1.000	3	4	3	3	4	3	3.000	4.000	3.000
520	1	sp|O55106|STRN_MOUSE	 	 	sp|O55106|STRN_MOUSE, sp|P58404|STRN4_MOUSE, sp|Q9ERG2|STRN3_MOUSE	 	18.8	780	85965	Striatin OS=Mus musculus OX=10090 GN=Strn PE=1 SV=2	30	29	0.967	12	7	11	12	6	11	12.000	6.462	11.000
521	1	sp|O55111|DSG2_MOUSE	 	 	 	 	29.9	1122	122384	Desmoglein-2 OS=Mus musculus OX=10090 GN=Dsg2 PE=1 SV=3	56	56	1.000	22	14	20	22	14	20	22.000	14.000	20.000
522	1	sp|O55125|NIPS1_MOUSE	 	 	 	 	52.1	284	33363	Protein NipSnap homolog 1 OS=Mus musculus OX=10090 GN=Nipsnap1 PE=1 SV=1	92	92	1.000	30	34	28	30	34	28	30.000	34.000	28.000
523	1	sp|O55126|NIPS2_MOUSE	 	 	 	 	22.4	281	32932	Protein NipSnap homolog 2 OS=Mus musculus OX=10090 GN=Nipsnap2 PE=1 SV=1	11	11	1.000	5	4	2	5	4	2	5.000	4.000	2.000
524	1	sp|O55127|CP26A_MOUSE	 	 	 	 	4.6	497	56177	Cytochrome P450 26A1 OS=Mus musculus OX=10090 GN=Cyp26a1 PE=1 SV=1	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
525	1	sp|O55128|SAP18_MOUSE	 	 	 	 	64.7	153	17595	Histone deacetylase complex subunit SAP18 OS=Mus musculus OX=10090 GN=Sap18 PE=1 SV=1	37	37	1.000	12	12	13	12	12	13	12.000	12.000	13.000
526	1	sp|O55131|SEPT7_MOUSE	 	 	sp|O55131|SEPT7_MOUSE, sp|P28661|SEPT4_MOUSE, sp|Q8C1B7|SEP11_MOUSE, sp|Q8C650|SEP10_MOUSE, sp|Q8CHH9|SEPT8_MOUSE, sp|Q9DA97|SEP14_MOUSE	 	50.7	436	50549	Septin-7 OS=Mus musculus OX=10090 GN=Septin7 PE=1 SV=1	93	71	0.763	30	31	32	22	24	25	27.086	28.792	29.336
527	1	sp|O55135|IF6_MOUSE	 	 	 	 	21.6	245	26511	Eukaryotic translation initiation factor 6 OS=Mus musculus OX=10090 GN=Eif6 PE=1 SV=2	18	18	1.000	5	6	7	5	6	7	5.000	6.000	7.000
528	1	sp|O55137|ACOT1_MOUSE	 	 	sp|O55137|ACOT1_MOUSE, sp|Q32Q92|ACOT6_MOUSE, sp|Q8BWN8|ACOT4_MOUSE, sp|Q9QYR7|ACOT3_MOUSE, sp|Q9QYR9|ACOT2_MOUSE	 	43.2	419	46135	Acyl-coenzyme A thioesterase 1 OS=Mus musculus OX=10090 GN=Acot1 PE=1 SV=1	112	20	0.179	38	40	34	7	7	6	17.196	17.905	14.946
529	1	sp|O55142|RL35A_MOUSE	 	 	 	 	33.6	110	12554	Large ribosomal subunit protein eL33 OS=Mus musculus OX=10090 GN=Rpl35a PE=1 SV=2	50	50	1.000	15	17	18	15	17	18	15.000	17.000	18.000
530	1	sp|O55143|AT2A2_MOUSE	 	 	sp|O55143|AT2A2_MOUSE, sp|Q64518|AT2A3_MOUSE, sp|Q8R429|AT2A1_MOUSE	 	39.0	1044	114857	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 GN=Atp2a2 PE=1 SV=2	224	136	0.607	70	83	71	44	50	42	69.489	77.387	70.419
531	1	sp|O55176|PJA1_MOUSE	 	 	 	 	14.2	578	63905	E3 ubiquitin-protein ligase Praja-1 OS=Mus musculus OX=10090 GN=Pja1 PE=1 SV=3	16	16	1.000	5	5	6	5	5	6	5.000	5.000	6.000
532	1	sp|O55201|SPT5H_MOUSE	 	 	 	 	31.6	1082	120663	Transcription elongation factor SPT5 OS=Mus musculus OX=10090 GN=Supt5h PE=1 SV=1	60	60	1.000	22	21	17	22	21	17	22.000	21.000	17.000
533	1	sp|O55222|ILK_MOUSE	 	 	 	 	38.1	452	51373	Scaffold protein ILK OS=Mus musculus OX=10090 GN=Ilk PE=1 SV=2	75	75	1.000	26	26	23	26	26	23	26.000	26.000	23.000
534	1	sp|O55229|CHKB_MOUSE	 	 	 	 	32.7	394	45126	Choline/ethanolamine kinase OS=Mus musculus OX=10090 GN=Chkb PE=1 SV=3	28	28	1.000	11	8	9	11	8	9	11.000	8.000	9.000
535	1	sp|O55234|PSB5_MOUSE	 	 	 	 	52.7	264	28532	Proteasome subunit beta type-5 OS=Mus musculus OX=10090 GN=Psmb5 PE=1 SV=3	57	57	1.000	19	19	19	19	19	19	19.000	19.000	19.000
536	1	sp|O55236|MCE1_MOUSE	 	 	 	 	9.4	597	68683	mRNA-capping enzyme OS=Mus musculus OX=10090 GN=Rngtt PE=1 SV=1	10	10	1.000	2	3	5	2	3	5	2.000	3.000	5.000
537	1	sp|O55239|NNMT_MOUSE	 	 	 	 	26.5	264	29597	Nicotinamide N-methyltransferase OS=Mus musculus OX=10090 GN=Nnmt PE=1 SV=1	17	17	1.000	5	6	6	5	6	6	5.000	6.000	6.000
538	1	sp|O55240|RDH5_MOUSE	 	 	 	 	39.9	318	34826	Retinol dehydrogenase 5 OS=Mus musculus OX=10090 GN=Rdh5 PE=1 SV=1	22	22	1.000	6	10	6	6	10	6	6.000	10.000	6.000
539	1	sp|O55242|SGMR1_MOUSE	 	 	 	 	29.6	223	25250	Sigma non-opioid intracellular receptor 1 OS=Mus musculus OX=10090 GN=Sigmar1 PE=1 SV=1	18	18	1.000	6	8	4	6	8	4	6.000	8.000	4.000
540	1	sp|O70133|DHX9_MOUSE	 	 	 	 	27.2	1380	149473	ATP-dependent RNA helicase A OS=Mus musculus OX=10090 GN=Dhx9 PE=1 SV=2	139	139	1.000	45	46	48	45	46	48	45.000	46.000	48.000
541	1	sp|O70145|NCF2_MOUSE	 	 	 	 	6.1	525	59485	Neutrophil cytosol factor 2 OS=Mus musculus OX=10090 GN=Ncf2 PE=1 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
542	1	sp|O70152|DPM1_MOUSE	 	 	 	 	40.4	260	29174	Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus OX=10090 GN=Dpm1 PE=1 SV=1	30	30	1.000	7	11	12	7	11	12	7.000	11.000	12.000
543	1	sp|O70161|PI51C_MOUSE	 	 	sp|O70161|PI51C_MOUSE, sp|P70182|PI51A_MOUSE	 	4.1	661	72407	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Mus musculus OX=10090 GN=Pip5k1c PE=1 SV=2	4	3	0.750	1	2	1	1	1	1	1.000	2.000	1.000
544	1	sp|O70165|FCN1_MOUSE	 	 	 	 	7.8	334	36298	Ficolin-1 OS=Mus musculus OX=10090 GN=Fcn1 PE=1 SV=1	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
545	1	sp|O70172|PI42A_MOUSE	 	 	sp|O70172|PI42A_MOUSE, sp|Q80XI4|PI42B_MOUSE	 	20.5	405	46151	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Mus musculus OX=10090 GN=Pip4k2a PE=1 SV=1	17	8	0.471	6	5	6	3	2	3	4.500	3.000	4.125
546	1	sp|O70194|EIF3D_MOUSE	 	 	 	 	41.8	548	63988	Eukaryotic translation initiation factor 3 subunit D OS=Mus musculus OX=10090 GN=Eif3d PE=1 SV=2	88	88	1.000	31	29	28	31	29	28	31.000	29.000	28.000
547	1	sp|O70200|AIF1_MOUSE	 	 	 	 	11.6	147	16910	Allograft inflammatory factor 1 OS=Mus musculus OX=10090 GN=Aif1 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
548	1	sp|O70228|ATP9A_MOUSE	 	 	sp|O70228|ATP9A_MOUSE, sp|P98195|ATP9B_MOUSE	 	8.0	1047	118607	Probable phospholipid-transporting ATPase IIA OS=Mus musculus OX=10090 GN=Atp9a PE=1 SV=3	11	8	0.727	6	2	3	4	1	3	5.143	1.333	3.000
549	1	sp|O70250|PGAM2_MOUSE	 	 	sp|O70250|PGAM2_MOUSE, sp|Q9DBJ1|PGAM1_MOUSE	 	20.6	253	28827	Phosphoglycerate mutase 2 OS=Mus musculus OX=10090 GN=Pgam2 PE=1 SV=3	33	4	0.121	9	12	12	1	2	1	1.471	3.000	1.611
550	1	sp|O70251|EF1B_MOUSE	 	 	sp|O70251|EF1B_MOUSE, sp|P57776|EF1D_MOUSE	 	64.0	225	24693	Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5	99	92	0.929	34	32	33	31	30	31	32.409	31.000	31.912
551	1	sp|O70252|HMOX2_MOUSE	 	 	 	 	42.5	315	35738	Heme oxygenase 2 OS=Mus musculus OX=10090 GN=Hmox2 PE=1 SV=1	39	39	1.000	13	14	12	13	14	12	13.000	14.000	12.000
552	1	sp|O70281|TPST1_MOUSE	 	 	 	 	4.9	370	42132	Protein-tyrosine sulfotransferase 1 OS=Mus musculus OX=10090 GN=Tpst1 PE=1 SV=1	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
553	1	sp|O70293|GRK6_MOUSE	 	 	 	 	2.8	576	65978	G protein-coupled receptor kinase 6 OS=Mus musculus OX=10090 GN=Grk6 PE=1 SV=1	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
554	1	sp|O70303|CIDEB_MOUSE	 	 	 	 	36.1	219	24800	Lipid transferase CIDEB OS=Mus musculus OX=10090 GN=Cideb PE=1 SV=2	24	24	1.000	8	8	8	8	8	8	8.000	8.000	8.000
555	1	sp|O70305|ATX2_MOUSE	 	 	sp|O70305|ATX2_MOUSE, sp|Q7TQH0|ATX2L_MOUSE	 	14.9	1285	136484	Ataxin-2 OS=Mus musculus OX=10090 GN=Atxn2 PE=1 SV=1	54	50	0.926	19	18	17	18	16	16	18.500	17.032	16.500
556	1	sp|O70309|ITB5_MOUSE	 	 	sp|O70309|ITB5_MOUSE, sp|P11835|ITB2_MOUSE	 	12.7	798	87908	Integrin beta-5 OS=Mus musculus OX=10090 GN=Itgb5 PE=1 SV=2	18	16	0.889	7	4	7	6	4	6	6.600	4.000	6.600
557	1	sp|O70310|NMT1_MOUSE	 	 	sp|O70310|NMT1_MOUSE, sp|O70311|NMT2_MOUSE	 	41.7	496	56888	Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus OX=10090 GN=Nmt1 PE=1 SV=1	78	66	0.846	30	23	25	25	19	22	29.167	22.167	24.538
558	1	sp|O70311|NMT2_MOUSE	 	 	sp|O70310|NMT1_MOUSE, sp|O70311|NMT2_MOUSE	 	24.8	529	60484	Glycylpeptide N-tetradecanoyltransferase 2 OS=Mus musculus OX=10090 GN=Nmt2 PE=1 SV=1	26	14	0.538	10	9	7	5	5	4	5.833	5.833	4.462
559	1	sp|O70318|E41L2_MOUSE	 	 	sp|O70318|E41L2_MOUSE, sp|P48193|EPB41_MOUSE, sp|Q9WV92|E41L3_MOUSE	 	32.6	988	109938	Band 4.1-like protein 2 OS=Mus musculus OX=10090 GN=Epb41l2 PE=1 SV=2	71	63	0.887	24	23	24	21	21	21	22.898	21.944	22.500
560	1	sp|O70325|GPX4_MOUSE	 	 	 	 	45.2	197	22228	Phospholipid hydroperoxide glutathione peroxidase GPX4 OS=Mus musculus OX=10090 GN=Gpx4 PE=1 SV=4	35	35	1.000	12	12	11	12	12	11	12.000	12.000	11.000
561	1	sp|O70362|PHLD_MOUSE	 	 	 	 	19.7	837	93254	Phosphatidylinositol-glycan-specific phospholipase D OS=Mus musculus OX=10090 GN=Gpld1 PE=1 SV=1	43	43	1.000	14	13	16	14	13	16	14.000	13.000	16.000
